index,x,y,z,yaw,pitch,roll,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
141,-720.7138671875,-738.276916503906,0,337.968648910522,0,180,39.6819147482525,-75.7564674640738,0,0.19839040730586,27.9647794963601
142,-720.529968261719,-738.351440429688,0,337.927989959717,0,180,39.6819140787283,-75.7564653173114,0,0.198425377452953,28.163204873813
143,-720.346069335938,-738.426086425781,0,337.887496948242,0,180,39.6819134081075,-75.7564631705489,0,0.198471256448701,28.3616761302617
144,-720.162292480469,-738.500854492188,0,337.847171783447,0,180,39.68191273639,-75.7564610252115,0,0.198404123848551,28.5600802541103
145,-719.978515625,-738.575744628906,0,337.807010650635,0,180,39.6819120635758,-75.756458879874,0,0.198450157933258,28.7585304120435
146,-719.794799804687,-738.650756835937,0,337.767017364502,0,180,39.681911389665,-75.756456735249,0,0.19843974863115,28.9569701606747
147,-719.611145019531,-738.725952148438,0,337.727186203003,0,180,39.6819107141091,-75.7564545913366,0,0.198452551338503,29.1554227120132
148,-719.427490234375,-738.801208496094,0,337.687522888184,0,180,39.6819100380048,-75.7564524474241,0,0.198475686101212,29.3538983981144
149,-719.243957519531,-738.876647949219,0,337.648025512695,0,180,39.6819093602555,-75.7564503049367,0,0.198432276874798,29.5523306749892
150,-719.060180664063,-738.952270507813,0,337.616481781006,0,180,39.6819086808612,-75.7564481595992,0,0.198727713151052,29.7510583881402
151,-718.875305175781,-739.028442382813,0,337.62638092041,0,180,39.6819079965318,-75.7564460014367,0,0.199952746188309,29.9510111343285
152,-718.690368652344,-739.1044921875,0,337.636445999146,0,180,39.6819073132991,-75.7564438425618,0,0.199962722761408,30.15097385709
153,-718.50537109375,-739.180603027344,0,337.646675109863,0,180,39.681906629518,-75.7564416829743,0,0.200042387076762,30.3510162441667
154,-718.320434570313,-739.256652832031,0,337.657070159912,0,180,39.6819059462853,-75.7564395240993,0,0.199962722761408,30.5509789669281
155,-718.135375976563,-739.332641601563,0,337.667633056641,0,180,39.6819052636009,-75.7564373637994,0,0.200052433665779,30.7510314005939
156,-717.950378417969,-739.40869140625,0,337.678359985352,0,180,39.6819045803682,-75.7564352042119,0,0.200019172777649,30.9510505733716
157,-717.765380859375,-739.484619140625,0,337.689250946045,0,180,39.6819038982321,-75.7564330446244,0,0.199972791981731,31.1510233653533
158,-717.580322265625,-739.560485839844,0,337.700309753418,0,180,39.6819032166444,-75.7564308843245,0,0.200006097834731,31.351029463188
159,-717.395324707031,-739.636413574219,0,337.711534500122,0,180,39.6819025345083,-75.756428724737,0,0.199972791981731,31.5510022551697
160,-717.210205078125,-739.712219238281,0,337.722925186157,0,180,39.6819018534689,-75.7564265637245,0,0.200039435387986,31.7510416905577
161,-717.025146484375,-739.788024902344,0,337.734481811523,0,180,39.6819011724295,-75.7564244034246,0,0.199982953835281,31.951024644393
162,-716.840087890625,-739.86376953125,0,337.746202468872,0,180,39.6819004919384,-75.7564222431246,0,0.199959825787264,32.1509844701803
163,-716.654907226563,-739.939514160156,0,337.758089065552,0,180,39.6818998114473,-75.7564200813997,0,0.200072804625651,32.3510572748059
164,-716.469848632813,-740.015197753906,0,337.770143508911,0,180,39.6818991315046,-75.7564179210997,0,0.199936713696216,32.5509939885021
165,-716.362182617188,-740.059143066406,0,337.777225494385,0,180,39.6818987366991,-75.7564166642497,0,0.116289128517181,32.6672831170193
166,-716.176940917969,-740.134826660156,0,337.780282974243,0,180,39.6818980567564,-75.7564145018123,0,0.200106205531875,32.8673893225512
167,-715.99169921875,-740.210510253906,0,337.783319473267,0,180,39.6818973768136,-75.7564123393748,0,0.200106205531875,33.0674955280831
